,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Project ID,Drive Time,Tilt,Azimuth,Panel QTY,System Rating (kW DC),Inverter Manufacturer,Array Type,Squirrel Screen,Consumption Monitoring,Truss / Rafter,"Reinforcements",Rough Electrical Inspection,Interconnection Type,Module Length,Module Width,Module Weight,# of Arrays,# of reinforcement,Roof Type,Attachment Type,Portrait / Landscape,# of Stories,Install Season,Total Direct Time for Project for Hourly Employees (Including Drive Time),Total # of Days on Site,Total # Hourly Empoyees on Site,Estimated # of Salaried Employees on Site,Estimated Salary Hours,Estimated Total Direct Time,,Estimated Total # of People on Site,Notes,,,,,
,001,21 mins,33°,180°,19,6.84,SolarEdge,Roof Mount,Yes,,Truss,No,No,A1,67.8,40,43,1,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Spring,19:00:00,1,2,2,19:00:00,38:00:00,,4,,,,,,
,002,23 mins,45°,139°,18,6.57,SolarEdge,Roof Mount,Yes,,Rafter,Yes,Yes,A1,67.8,40,43,1,2,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,33:30:00,2,2,2,33:30:00,67:00:00,,4,,,,,,
,003,21 mins,24°,180°,16,5.12,SolarEdge,Roof Mount,No,,Truss,No,No,A3,66.3,39.4,41.2,2,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,25:20:00,2,2,2,25:20:00,50:40:00,,4,,,,,,
,004,38 mins,20°,104°,27,10.80,Enphase,Roof Mount,No,,Truss,No,No,C2,79.3,39.4,51.8,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,27:00:00,2,2,2,27:00:00,54:00:00,,4,Yes this job and the one below it both happened,,,,,
,005,38 mins,20°,180°,27,10.80,Enphase,Roof Mount,No,,Truss,No,No,C2,79.3,39.4,51.8,1,0,Asphalt Shingles,Flashfoot 2,Both,1,Spring,27:00:00,2,2,2,27:00:00,54:00:00,,4,Yes this job and the one above it both happened,,,,,
,006,45 mins,18.4°,180°,18,6.12,SolarEdge,Roof Mount,No,,Truss,No,No,A1,68.5,40.5,43.9,1,0,Asphalt Shingles,Unknown,Portrait,1,Spring,17:00:00,1,2,2,17:00:00,34:00:00,,4,,,,,,
,007,24 mins,26°,200°,13,4.23,SolarEdge,Roof Mount,Yes,,Truss,No,Yes,A3,65.43,39.45,41.6,1,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Spring,19:30:00,1,2,2,19:30:00,39:00:00,,4,,,,,,
,008,21 mins,10°,205°,20,7.30,SolarEdge,Roof Mount,No,,Rafter,No,Yes,B2,67.8,40,43,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,38:15:00,3,2,2,38:15:00,76:30:00,,4,,,,,,
,009,30 mins,18°,185°,18,5.76,SolarEdge,Roof Mount,No,,Truss,No,No,A2,65.94,39.25,39.7,1,0,Asphalt Shingles,Unknown,Portrait,2,Spring,25:45:00,2,2,2,25:45:00,51:30:00,,4,,,,,,
,010,6 mins,31°,90°,16,5.12,SolarEdge,Roof Mount,Yes,,Rafter,Yes,Yes,B2,65.94,39.25,39.7,1,10,Asphalt Shingles,Flashfoot 2,Landscape,1,Spring,33:45:00,2,2,2,33:45:00,67:30:00,,4,,,,,,
,011,16 mins,26.6°,130°,22,8.03,Enphase,Roof Mount,Yes,,Truss,No,No,A1,67.8,40,43,2,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Spring,43:30:00,4,2,2,43:30:00,87:00:00,,4,,,,,,
,012,51 mins,45°,180°,24,8.52,Enphase,Roof Mount,No,,Truss,No,No,C*,67.8,40,43,1,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Spring,12:45:00,1,1,2,25:30:00,38:15:00,,3,,,,,,
,013,10 mins,45°,215°,20,7.30,SolarEdge,Roof Mount,No,,Rafter,No,No,C*,67.8,40,43,1,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Spring,37:30:00,2,2,2,37:30:00,75:00:00,,4,,,,,,
,014,36 mins,35°/27°,230°/140°,31,11.01,SolarEdge,Roof Mount,No,,Truss,No,No,C3,67.8,40,43,5,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,35:30:00,3,2,2,35:30:00,71:00:00,,4,,,,,,
,015,9 mins,24°,180°,32,11.36,Enphase,Roof Mount,No,,Truss,No,Yes,C1,67.8,40,43,3,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Spring,40:30:00,3,3,2,27:00:00,67:30:00,,5,,,,,,
,016,30 mins,32°,218°,23,7.59,SolarEdge,Roof Mount,No,,Truss,No,No,A2,66.53,39.21,39.7,2,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,29:30:00,2,2,2,29:30:00,59:00:00,,4,,,,,,
,017,21 mins,24°,180°,20,6.40,SolarEdge,Roof Mount,No,,Truss,No,No,A1,39.4,66.9,41,2,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Spring,20:00:00,1,2,2,20:00:00,40:00:00,,4,,,,,,
,018,25 mins,14°,170°,12,4.26,SolarEdge,Roof Mount,Yes,,Rafter,No,Yes,B2,66.93,40,39.7,1,0,Standing Seam Metal Roof,S-5!,Portrait,1,Summer,24:15:00,2,2,2,24:15:00,48:30:00,,4,,,,,,
,019,7 mins,36°,180°,14,5.18,Enphase,Roof Mount,Yes,,Truss,No,Yes,A3,70.67,39.98,41.9,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,33:30:00,2,2,2,33:30:00,67:00:00,,4,,,,,,
,020,49 mins,10°/18°,190°,43,18.28,SolarEdge,Roof Mount,No,,Purlin,Yes,No,A1,81.9,40.6,55.1,1,2,Ag Metal,Ejot,Landscape,1,Summer,82:15:00,4,3,2,54:50:00,137:05:00,,5,,,,,,
,021,44 mins,18°,180°,14,5.95,SolarEdge,Roof Mount,No,,Rafter,No,No,B*,81.9,40.6,55.1,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,25:00:00,1,3,2,16:40:00,41:40:00,,5,,,,,,
,022,11 mins,10°/38°,235°,20,7.40,Enphase,Roof Mount,Yes,,Rafter,No,Yes,C1,70.67,39.98,41.9,3,0,EPDM (Flat Roof),Flashloc RM,Both,2,Summer,33:30:00,2,3,2,22:20:00,55:50:00,,5,,,,,,
,023,44 mins,18°,180°,49,21.07,SolarEdge,Roof Mount,No,,Purlin,No,No,A*,81.89,40.56,55.11,1,0,Ag Metal,Ejot,Landscape,1,Summer,116:45:00,7,3,2,77:50:00,194:35:00,,5,,,,,,
,024,40 mins,26°,108°,28,10.36,SolarEdge,Roof Mount,No,,Truss,No,No,C*,70.67,39.98,41.9,2,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Summer,10:00:00,1,1,2,20:00:00,30:00:00,,3,,,,,,
,025,17 mins,18°/21°,185°,24,8.76,Enphase,Roof Mount,No,,Truss,No,No,A2,67.8,40,43,2,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Spring,32:00:00,2,2,2,32:00:00,64:00:00,,4,,,,,,
,026,29 mins,16°/16°,178°/267°,12,4.44,Enphase,Roof Mount,Yes,,Rafter,No,No,B1,70.67,39.98,41.9,2,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Fall,13:30:00,1,2,2,13:30:00,27:00:00,,4,,,,,,
,027,28 mins,20°,,14,4.90,SMA,Roof Mount,No,,Truss,No,Yes,A1,69.44,41.26,46.5,2,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Summer,31:15:00,2,3,2,20:50:00,52:05:00,,5,,,,,,
,028,25 mins,24°,180°,22,7.81,Enphase,Roof Mount,Yes,,Truss,No,Yes,A2,68.5,41,41,3,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Summer,39:00:00,3,2,2,39:00:00,78:00:00,,4,,,,,,
,029,4 mins,25°,165°,11,4.07,SolarEdge,Roof Mount,No,,Truss,No,Yes,A1,70.67,39.98,41.9,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,23:45:00,2,2,2,23:45:00,47:30:00,,4,,,,,,
,030,16 mins,18°,180°,13,4.29,Enphase,Roof Mount,No,,Truss,No,No,A1,66.9,39.4,41,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,17:30:00,2,2,3,26:15:00,43:45:00,,5,,,,,,
,031,26 mins,34°,260°,15,5.10,SolarEdge,Roof Mount,No,,Truss,No,No,A1,68.5,40.5,43.9,2,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Summer,24:55:00,1,3,3,24:55:00,49:50:00,,6,,,,,,
,032,12 mins,19°,177°/260°,16,5.92,Enphase,Roof Mount,No,,Truss,No,No,A1,70.67,39.98,41.9,2,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,26:10:00,1,3,3,26:10:00,52:20:00,,6,,,,,,
,033,13 mins,18°,200°,11,4.07,SolarEdge,Roof Mount,Yes,,Rafter,Yes,No,B2,70.67,39.98,41.9,1,18,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,24:10:00,1,3,3,24:10:00,48:20:00,,6,,,,,,
,034,42 mins,30°,180°,13,4.81,SolarEdge,Roof Mount,No,,Rafter,Yes,No,C2,70.67,39.98,41.9,1,11,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,29:10:00,1,3,3,29:10:00,58:20:00,,6,,,,,,
,035,15 mins,25°,270°,23,7.59,SolarEdge,Roof Mount,No,,Truss,No,No,A1,66.53,39.21,39.7,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,26:45:00,1,3,3,26:45:00,53:30:00,,6,,,,,,
,036,21 mins,30°,180°,13,4.81,Enphase,Roof Mount,Yes,,Truss,No,Yes,A1,70.67,39.98,41.9,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,25:15:00,1,3,3,25:15:00,50:30:00,,6,,,,,,
,037,26 mins,38°,173°,9,4.05,Enphase,Roof Mount,No,,Rafter,No,Yes,A3,83.07,41,50.71,1,0,Standing Seam Metal Roof,S-5!,Landscape,1,Fall,71:00:00,3,3,3,71:00:00,142:00:00,,6,,,,,,
,038,15 mins,16°,192°,29,10.73,Enphase,Roof Mount,Yes,,Truss,No,Yes,C1,70.67,39.98,41.9,2,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Summer,37:57:00,2,3,3,37:57:00,75:54:00,,6,,,,,,
,039,25 mins,18°,157°,16,6.08,SolarEdge,Roof Mount,No,,Rafter,No,Yes,B2,72.4,40.6,43,2,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,28:22:00,1,3,3,28:22:00,56:44:00,,6,,,,,,
,040,22 mins,,148°/240°,43,15.70,Enphase,Roof Mount,No,,Truss,No,No,C1,67.8,40,43,8,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Summer,76:15:00,3,3,3,76:15:00,152:30:00,,6,,,,,,
,041,36 mins,30°,260°,36,13.32,SolarEdge,Roof Mount,No,,Truss,No,No,C*,70.67,39.98,41.9,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,54:54:00,3,3,3,54:54:00,109:48:00,,6,,,,,,
,042,25 mins,10°,162°,16,5.28,SolarEdge,Roof Mount,No,,Truss,No,Yes,B2,66.9,39.4,41,1,0,Standing Seam Metal Roof,S-5!,Portrait,1,Summer,17:30:00,1,2,3,26:15:00,43:45:00,,5,,,,,,
,044,22 mins,20°/37°,215°/125°,21,7.77,Enphase,Roof Mount,Yes,,Truss,No,No,A1,70.67,39.98,41.9,3,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Fall,23:45:00,2,3,3,23:45:00,47:30:00,,6,,,,,,
,045,10 mins,23°,135°,9,3.33,Enphase,Roof Mount,Yes,,Rafter,Yes,Yes,B2,70.67,39.98,41.9,1,11,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,33:10:00,2,3,3,33:10:00,66:20:00,,6,,,,,,
,046,16 mins,30°,180°,54,23.22,Enphase,Ground Mount,No,,Grount Mount,No,No,C2,81.89,40.56,55.11,2,0,Ground Mount,Ground Mount,Portrait,0,Fall,104:40:00,8,3,3,104:40:00,209:20:00,,6,,,,,,
,047,18 mins,28°,200°,14,5.18,SolarEdge,Roof Mount,Yes,,Truss,No,No,A1,70.67,39.98,41.9,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Fall,13:30:00,2,1,3,40:30:00,54:00:00,,4,,,,,,
,049,43 mins,25°,180°,20,7.40,Enphase,Roof Mount,No,,Truss,No,No,A3,70.67,39.98,41.9,1,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Fall,41:30:00,3,2,3,62:15:00,103:45:00,,5,,,,,,
,050,56 mins,30°,180°,48,17.76,SolarEdge,Ground Mount,No,,Grount Mount,No,No,C*,70.67,39.98,41.9,2,0,Ground Mount,Ground Mount,Portrait,0,Fall,129:00:00,7,3,3,129:00:00,258:00:00,,6,,,,,,
,051,27 mins,24°,180°/90°,19,7.03,Enphase,Roof Mount,No,,Truss,No,Yes,A2,70.67,39.98,41.9,2,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Fall,24:30:00,1,3,3,24:30:00,49:00:00,,6,,,,,,
,052,16 mins,24°,185°,31,11.63,SolarEdge,Roof Mount,No,,Truss,No,No,A1,67.8,40,43,3,0,Asphalt Shingles,Flashfoot 2,Both,2,Fall,19:39:00,1,2,3,29:28:30,49:07:30,,5,,,,,,
,054,25 mins,20°,175°,12,4.38,Enphase,Roof Mount,Yes,,Truss,No,Yes,A1,67.8,40,43,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Fall,16:40:00,1,2,3,25:00:00,41:40:00,,5,,,,,,
,055,42 mins,22°,180°,14,4.97,Enphase,Roof Mount,Yes,,Truss,No,No,C2,67.8,40,43,2,0,Asphalt Shingles,Flashfoot 2,Both,2,Fall,17:10:00,1,2,3,25:45:00,42:55:00,,5,,,,,,
,056,33 mins,37°,180°,14,5.18,SolarEdge,Roof Mount,No,,Truss,No,No,C*,70.67,39.98,41.9,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Fall,15:30:00,1,2,3,23:15:00,38:45:00,,5,,,,,,
,057,43 mins,30°,180°,28,12.60,SolarEdge,Ground Mount,No,,Grount Mount,No,No,B1,82.79,40.94,55.12,1,0,Ground Mount,Ground Mount,Portrait,0,Fall,64:00:00,3,3,3,64:00:00,128:00:00,,6,,,,,,
,058,12 mins,32°,170°,17,6.46,Enphase,Roof Mount,No,,Truss,No,Yes,A2,70.67,39.98,41.9,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Fall,23:15:00,1,3,3,23:15:00,46:30:00,,6,,,,,,
,060,12 mins,24°,135°,16,5.92,Enphase,Roof Mount,Yes,,Truss,No,No,A1,70.67,39.98,41.9,1,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Fall,22:30:00,1,3,3,22:30:00,45:00:00,,6,,,,,,
,061,22 mins,38°,180°,18,6.66,Enphase,Roof Mount,No,,Rafter,Yes,Yes,B2,70.67,39.98,41.9,1,22,Asphalt Shingles,Flashfoot 2,Portrait,2,Fall,30:45:00,1,3,3,30:45:00,61:30:00,,6,,,,,,
,062,37 mins,20°,245°,21,7.77,SolarEdge,Roof Mount,No,,Truss,No,No,A1,70.67,39.98,41.9,1,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Winter,23:15:00,2,3,3,23:15:00,46:30:00,,6,,,,,,
,063,23 mins,,,22,8.03,SolarEdge,Roof Mount,Yes,,Rafter,Yes,Yes,A1,67.8,40,43,1,14,Asphalt Shingles,Flashfoot 2,Portrait,2,Fall,30:30:00,2,2,3,45:45:00,76:15:00,,5,,,,,,
,064,22 mins,30°,230°,16,6.08,SolarEdge,Roof Mount,Yes,,Rafter,Yes,Yes,A1,70.67,39.98,41.9,2,2,Asphalt Shingles,Flashfoot 2,Portrait,2,Fall,27:40:00,2,2,3,41:30:00,69:10:00,,5,,,,,,
,065,26 mins,18°,270°,13,4.81,Enphase,Roof Mount,No,,Truss,No,Yes,A2,70.67,39.98,41.9,1,0,Asphalt Shingles,Unknown,Portrait,2,Fall,30:30:00,2,3,3,30:30:00,61:00:00,,6,,,,,,
,066,24 mins,30°,135°,19,7.03,Enphase,Roof Mount,No,,Truss,No,Yes,A1,67.8,40,43,4,0,Asphalt Shingles,Flashfoot 2,Both,2,Fall,27:00:00,1,3,3,27:00:00,54:00:00,,6,,,,,,
,067,40 mins,31°,180°,20,7.60,Enphase,Roof Mount,No,,Truss,No,No,A1,68.5,41.02,40.8,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Fall,25:30:00,1,3,3,25:30:00,51:00:00,,6,,,,,,
,068,24 mins,16°,180°,12,4.38,Enphase,Roof Mount,Yes,,Rafter,Yes,No,A1,69.37,40.91,44.09,1,7,Asphalt Shingles,Flashfoot 2,Portrait,2,Winter,29:25:00,2,3,3,29:25:00,58:50:00,,6,,,,,,
,069,27 mins,22.6°,90°/180°/270°,21,7.77,Enphase,Roof Mount,No,,Truss,No,Yes,A1,70.67,39.98,41.9,4,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Fall,27:00:00,2,3,3,27:00:00,54:00:00,,6,Installed a car charger,,,,,
,070,32 mins,18°,180°,36,13.32,Enphase,Roof Mount,No,,Truss,No,No,A1,70.67,39.98,41.9,1,0,Ag Metal,Ejot,Landscape,2,Winter,56:15:00,3,3,3,56:15:00,112:30:00,,6,,,,,,
,071,30 mins,21°,180°,17,5.61,SolarEdge,Roof Mount,No,,Truss,No,No,A1,66.53,39.21,39.7,2,0,Asphalt Shingles,Flashfoot 2,Both,2,Fall,23:25:00,2,3,3,23:25:00,46:50:00,,6,,,,,,
,072,14 mins,26°,200°,16,5.52,SolarEdge,Roof Mount,Yes,,Truss,No,Yes,A1,68.8,41.5,44.8,2,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Fall,33:00:00,3,3,3,33:00:00,66:00:00,,6,,,,,,
,073,26 mins,32°,180°,14,5.32,Enphase,Roof Mount,No,,Truss,No,No,A1,70.67,39.98,41.9,1,0,Asphalt Shingles,Unknown,Portrait,1,Fall,24:30:00,1,3,3,24:30:00,49:00:00,,6,,,,,,
,074,15 mins,22.6°,180°,19,7.22,SolarEdge,Roof Mount,Yes,,Truss,No,No,A2,70.67,39.98,41.9,1,0,Asphalt Shingles,Unknown,Portrait,1,Winter,20:15:00,1,3,3,20:15:00,40:30:00,,6,,,,,,
,075,3 mins,24°,200°,4,1.52,Enphase,Roof Mount,No,,Truss,No,Yes,A1,70.67,39.98,41.9,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Winter,20:45:00,1,3,1,6:55:00,27:40:00,,4,,,,,,
,076,28 mins,30°,210°,36,13.32,Enphase,Roof Mount,Yes,,Truss,No,Yes,A1,67.8,40,43,1,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Winter,39:00:00,2,2,3,58:30:00,97:30:00,,5,,,,,,
,077,39 mins,30°,180°,14,5.95,SolarEdge,Ground Mount,No,,Grount Mount,No,No,A1,81.9,40.6,55.1,1,0,Ground Mount,Ground Mount,Portrait,0,Spring,36:25:00,2,3,2,24:16:40,60:41:40,,5,,,,,,
,078,25 mins,,140°,18,6.66,Enphase,Roof Mount,Yes,,Truss,No,Yes,B1,67.8,40,43,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,15:30:00,1,2,2,15:30:00,31:00:00,,4,,,,,,
,079,10 mins,26°,260°/80°,28,11.20,Enphase,Roof Mount,Yes,,Truss,No,No,B1,71.7,40,45,2,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,35:15:00,2,2,2,35:15:00,70:30:00,,4,,,,,,
,080,27 mins,,,29,10.73,Enphase,Roof Mount,Yes,,Rafter,No,Yes,A*,67.8,40,43,4,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,36:15:00,4,2,2,36:15:00,72:30:00,,4,,,,,,
,084,44 mins,17°,180°,15,5.55,Enphase,Roof Mount,Yes,,Truss,No,No,A1,67.8,40,43,1,0,Asphalt Shingles,Flashfoot 2,Landscape,1,Spring,38:05:00,5,3,2,25:23:20,63:28:20,,5,Time data looks wrong to me,,,,,
,085,25 mins,37°,155°,28,10.36,SolarEdge,Roof Mount,Yes,,TJI,No,Yes,A1,67.8,40,43,1,0,Asphalt Shingles,RT Mini,Portrait,1,Spring,22:05:00,2,1,2,44:10:00,66:15:00,,3,,,,,,
,087,7 mins,18°,270°/180°/90°,9,3.42,Enphase,Roof Mount,Yes,,Rafter,No,Yes,A1,70.67,39.98,41.9,3,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,24:45:00,2,2,2,24:45:00,49:30:00,,4,,,,,,
,089,13 mins,26.6°,115°,24,9.12,Enphase,Roof Mount,Yes,,Truss,No,Yes,A2,70.67,39.98,41.9,2,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,1:30:00,1,1,2,3:00:00,4:30:00,,3,time data looks wrong to me,,,,,
,090,27 mins,26°,270°/90°,11,4.07,SolarEdge,Roof Mount,No,,Truss,No,Yes,A1,69.4,40.8,43,2,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,14:55:00,2,2,2,14:55:00,29:50:00,,4,,,,,,
,091,25 mins,14°/18°,180°/270°,21,7.98,Enphase,Roof Mount,No,,Truss,No,No,A3,70.67,39.98,41.9,3,0,Asphalt Shingles,Flashfoot 2,Both,1,Spring,10:30:00,1,1,2,21:00:00,31:30:00,,3,,,,,,
,092,34 mins,18°,180°,10,3.70,SolarEdge,Roof Mount,No,,Truss,No,No,C*,69.13,40.91,45.19,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,10:00:00,1,1,2,20:00:00,30:00:00,,3,,,,,,
,093,48 mins,18°,145°,14,5.60,Enphase,Roof Mount,No,,Purlin,No,No,A2,71.7,40,45,1,0,Ag Metal,Ejot,Portrait,2,Spring,21:36:00,1,3,2,14:24:00,36:00:00,,5,,,,,,
,094,14 mins,26°,180°,16,6.40,Enphase,Roof Mount,Yes,,Truss,No,Yes,A1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,29:55:00,3,3,2,19:56:40,49:51:40,,5,,,,,,
,095,1 hour 32 mins,18°,135°,20,9.00,SolarEdge,Roof Mount,No,,Purlin,No,No,A*,82.79,40.94,55.12,1,0,Ag Metal,Ejot,Landscape,1,Spring,18:30:00,1,2,2,18:30:00,37:00:00,,4,,,,,,
,096,21 mins,30°,90°/180°/270°,56,20.72,SolarEdge,Roof Mount,Yes,,Truss,No,No,A*,67.8,40,43,7,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Spring,43:48:00,5,1,2,87:36:00,131:24:00,,3,,,,,,
,104,21 mins,30°,175°,24,8.88,Enphase,Roof Mount,No,,Truss,No,No,A1,68.5,41.01,41.02,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,18:15:00,1,2,2,18:15:00,36:30:00,,4,,,,,,
,112,25 mins,26°,170°/260°,26,9.62,Enphase,Roof Mount,Yes,,Truss,No,Yes,A2,69.13,40.91,45.19,2,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,3:10:00,1,1,2,6:20:00,9:30:00,,3,Time data looks wrong to me,,,,,
,119,29 mins,24°,200°/110°,27,10.80,Enphase,Roof Mount,Yes,,Truss,No,No,A1,71.7,40,45,3,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Summer,36:25:00,2,2,2,36:25:00,72:50:00,,4,,,,,,
