,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,260,46 mins,10°,185°,47,18.80,Enphase,Roof Mount,No,No,Truss,No,No,C3,74.8,40.9,48,1,0,Standing Seam Metal Roof,S-5!,Portrait,1,Spring,53:30:00,2,3,0,0:00:00,53:30:00,,3,,,,,,
,261,27 mins,27°,180°/90°,13,5.20,Enphase,Roof Mount,Yes,Yes,Truss,No,Yes,A4,74.8,40.9,48,2,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,24:00:00,1,3,0,0:00:00,24:00:00,,3,,,,,,
,262,26 mins,26°,90°/180°,12,4.86,Enphase,Roof Mount,Yes,No,Truss,No,Yes,A1,71.7,40,45,2,0,Asphalt Shingles,Flashview,Portrait,1,Spring,38:00:00,2,4,0,0:00:00,38:00:00,,4,,,,,,
,263,26 mins,26°,225°,12,4.86,Enphase,Roof Mount,Yes,No,Truss,No,Yes,A1,71.7,40,45,2,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,25:15:00,1,4,0,0:00:00,25:15:00,,4,,,,,,
,264,26 mins,26°,90°/180°,12,4.86,Enphase,Roof Mount,Yes,No,Truss,No,Yes,A1,71.7,40,45,3,0,Asphalt Shingles,Flashview,Portrait,1,Winter,41:00:00,2,3,0,0:00:00,41:00:00,,3,,,,,,
,265,30 mins,34°,110°/200°,31,12.56,Enphase,Roof Mount,Yes,Yes,Truss,No,Yes,A1,71.7,40,45,3,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Spring,101:15:00,6,4,0,0:00:00,101:15:00,,4,Rough electrical ahead of time. Also installed an EV charger,,,,,
,266,24 mins,27°,220°,14,5.60,Enphase,Roof Mount,Yes,Yes,Truss,No,No,C2,74.8,40.9,48,1,0,Asphalt Shingles,Flashview,Portrait,1,Spring,37:15:00,2,4,0,0:00:00,37:15:00,,4,,,,,,
,267,31 mins,20,100/190,34,13.77,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A1,71.7,40,45,4,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Spring,86:30:00,4,5,0,0:00:00,86:30:00,,5,,,,,,
,268,28 mins,18°,170°,24,9.60,Enphase,Roof Mount,Yes,No,Truss,No,No,A1,74.8,40.9,48,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,26:30:00,1,3,0,0:00:00,26:30:00,,3,,,,,,
,269,20 mins,33°,145°/232°,20,8.00,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A3,74.8,40.9,48,3,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Spring,67:30:00,2,5,0,0:00:00,67:30:00,,5,,,,,,
,270,30 mins,18°,180°,19,7.60,Enphase,Roof Mount,No,No,Truss,No,No,A1,74.8,40.9,48,1,0,Standing Seam Metal Roof,S-5!,Portrait,1,Spring,52:45:00,2,4,0,0:00:00,52:45:00,,4,,,,,,
,271,48 mins,30°,180°,22,10.67,SolarEdge,Ground Mount,No,No,Grount Mount,No,No,A4,87.2,41.1,64.2,1,0,Ground Mount,Ground Mount,Portrait,0,Spring,75:45:00,2,4,0,0:00:00,75:45:00,,4,,,,,,
,272,29 mins,27°,180°,26,10.40,Enphase,Roof Mount,Yes,No,Truss,No,No,A3,74.8,40.9,48,2,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,38:00:00,1,4,0,0:00:00,38:00:00,,4,,,,,,
,273,56 mins,30,180,22,10.67,SolarEdge,Ground Mount,No,No,Grount Mount,No,No,A*,87.2,41.1,64.2,1,0,Ground Mount,Ground Mount,Portrait,0,Spring,55:30:00,3,4,0,0:00:00,55:30:00,,4,Trenching,,,,,
,274,23 mins,34°,210°,40,16.00,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A1,74.8,40.9,48,1,0,Asphalt Shingles,Flashview,Portrait,1,Spring,53:30:00,2,3,0,0:00:00,53:30:00,,3,"Some electrical re-work after the fact, but I don't think it's included in the time tracking",,,,,
,275,47 mins,22.6°,90°,40,16.00,Enphase,Roof Mount,No,No,Purlin,Yes,No,B2,74.8,40.9,48,1,56,Ag Metal,Ejot,Landscape,1,Fall,83:45:00,3,5,0,0:00:00,83:45:00,,5,A super weird one,,,,,
,276,11 mins,45,195,12,4.80,Enphase,Roof Mount,No,No,Rafter,No,Yes,A1,74.8,40.9,48,1,0,Standing Seam Metal Roof,S-5!,Portrait,1,Spring,40:15:00,2,4,0,0:00:00,40:15:00,,4,,,,,,
,277,11 mins,47°,195,21,8.51,Enphase,Roof Mount,Yes,Yes,Rafter,No,Yes,A1,71.7,40,45,2,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Spring,49:00:00,3,4,0,0:00:00,49:00:00,,4,,,,,,
,278,26 mins,18.4°,236°,28,11.20,Enphase,Roof Mount,Yes,No,Truss,No,No,A1,74.8,40.9,48,2,0,Asphalt Shingles,Flashview,Portrait,2,Spring,16:30:00,1,2,0,0:00:00,16:30:00,,2,,,,,,
,279,28 mins,27,180,30,12.00,Enphase,Roof Mount,Yes,No,Truss,No,No,A4,74.8,40.9,48,1,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Summer,75:15:00,2,5,0,0:00:00,75:15:00,,5,,,,,,
,280,26 mins,27,210,12,4.80,Enphase,Roof Mount,Yes,No,Truss,No,Yes,A1,71.7,40,45,2,0,Asphalt Shingles,Flashview,Portrait,1,Summer,30:00:00,1,5,0,0:00:00,30:00:00,,5,,,,,,
,281,26 mins,27,120/210,12,4.80,Enphase,Roof Mount,Yes,No,Truss,No,Yes,A1,71.7,40,45,2,0,Asphalt Shingles,Flashview,Portrait,1,Summer,30:00:00,1,5,0,0:00:00,30:00:00,,5,,,,,,
,282,26 mins,27,129,12,4.80,Enphase,Roof Mount,Yes,No,Truss,No,Yes,A1,71.7,40,45,2,0,Asphalt Shingles,Flashview,Portrait,1,Summer,25:00:00,1,5,0,0:00:00,25:00:00,,5,,,,,,
,283,26 mins,27,135,12,4.80,Enphase,Roof Mount,Yes,No,Truss,No,Yes,A1,71.7,40,45,1,0,Asphalt Shingles,Flashview,Portrait,1,Summer,30:30:00,2,5,0,0:00:00,30:30:00,,5,,,,,,
,284,27 mins,27,146,12,4.80,Enphase,Roof Mount,Yes,No,Truss,No,Yes,A2,71.7,40,45,2,0,Asphalt Shingles,Flashview,Portrait,1,Summer,34:00:00,1,5,0,0:00:00,34:00:00,,5,,,,,,
,285,24 mins,16.5,150,12,5.04,Enphase,Roof Mount,Yes,Yes,Rafter,Yes,Yes,A1,73.4,40.9,47.8,1,10,Asphalt Shingles,Unknown,Portrait,1,Summer,38:30:00,1,5,0,0:00:00,38:30:00,,5,,,,,,
,286,29 mins,25,180,12,4.80,Enphase,Roof Mount,Yes,No,Truss,No,Yes,A1,74.8,40.9,48,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,48:15:00,2,5,0,0:00:00,48:15:00,,5,,,,,,
,287,23 mins,27,267,24,9.60,Enphase,Roof Mount,Yes,No,Truss,No,No,A1,74.8,40.9,48,1,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Summer,36:30:00,1,5,0,0:00:00,36:30:00,,5,,,,,,
,288,8 mins,33.7,260,16,6.72,Enphase,Roof Mount,Yes,No,Rafter,No,Yes,A1,73.4,40.9,47.8,3,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Summer,44:45:00,2,5,0,0:00:00,44:45:00,,5,,,,,,
,289,9 mins,27,182,17,7.82,Enphase,Roof Mount,Yes,Yes,Truss,No,Yes,A1,68,47.4,50,3,0,Asphalt Shingles,Flashfoot 2,Both,2,Summer,47:30:00,1,5,0,0:00:00,47:30:00,,5,,,,,,
,290,46 mins,33/37,247/157/67,26,10.92,Enphase,Roof Mount,Yes,No,Rafter,Yes,No,A1,73.4,40.9,47.8,3,17,Asphalt Shingles,Hugs,Portrait,2,Summer,90:30:00,2,5,0,0:00:00,90:30:00,,5,,,,,,
,291,13 mins,18.4/9.4,178.5,36,14.40,Enphase,Roof Mount,Yes,No,Truss,No,No,A1,74.8,40.9,48,2,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Summer,73:45:00,2,5,0,0:00:00,73:45:00,,5,New Construction,,,,,
,292,8 mins,45,180,14,5.60,Enphase,Roof Mount,Yes,Yes,Truss,No,Yes,A1,74.8,40.9,48,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,35:00:00,1,4,0,0:00:00,35:00:00,,4,,,,,,
,293,4 mins,27,226,12,4.80,Enphase,Roof Mount,Yes,No,Truss,No,Yes,A1,74.8,40.9,48,1,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Summer,40:00:00,1,5,0,0:00:00,40:00:00,,5,,,,,,
,294,38 mins,26,168,13,5.20,Enphase,Roof Mount,Yes,No,Truss,No,No,A4,74.8,40.9,48,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,36:30:00,1,5,0,0:00:00,36:30:00,,5,,,,,,
,295,27 mins,33.7,175,16,7.36,Enphase,Roof Mount,Yes,Yes,Truss,No,Yes,A1,68,47.4,50,1,0,Asphalt Shingles,Flashfoot 2,Both,2,Summer,44:30:00,1,5,0,0:00:00,44:30:00,,5,,,,,,
,296,28 mins,18,260,18,7.20,Enphase,Roof Mount,Yes,Yes,Rafter,No,Yes,A1,74.8,40.9,48,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,33:15:00,1,4,0,0:00:00,33:15:00,,4,,,,,,
,297,41 mins,18.4,84,33,13.53,Enphase,Roof Mount,No,No,Purlin,No,No,C*,69.37,44.65,47,1,0,Ag Metal,Ejot,Landscape,1,Summer,78:15:00,2,5,0,0:00:00,78:15:00,,5,,,,,,
,298,23 mins,18.4,189.4,9,3.60,Enphase,Roof Mount,Yes,No,Truss,No,Yes,A1,74.8,40.9,48,1,0,Asphalt Shingles,Flashfoot 2,Landscape,2,Summer,40:15:00,1,5,0,0:00:00,40:15:00,,5,,,,,,
,299,29 mins,30,148,26,10.92,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A1,73.4,40.9,47.8,2,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Summer,54:15:00,1,5,0,0:00:00,54:15:00,,5,,,,,,
,300,20 mins,33/40,134/223,32,12.80,Enphase,Roof Mount,Yes,Yes,Truss,No,No,C3,74.8,40.9,48,2,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,69:30:00,2,5,0,0:00:00,69:30:00,,5,,,,,,
,301,19 mins,34,180,18,8.28,Enphase,Roof Mount,Yes,No,Truss,No,No,A1,68,47.4,50,1,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Summer,46:00:00,1,5,0,0:00:00,46:00:00,,5,,,,,,
,302,25 mins,33,90/180/270,18,7.20,Enphase,Roof Mount,Yes,Yes,Truss,No,Yes,A1,74.8,40.9,48,3,0,Asphalt Shingles,Flashfoot 2,Both,2,Summer,67:00:00,3,5,0,0:00:00,67:00:00,,5,,,,,,
,303,22 mins,37.5,138,8,3.20,Enphase,Roof Mount,Yes,Yes,Rafter,Yes,Yes,A1,74.8,40.9,48,1,12,Asphalt Shingles,Hugs,Landscape,1,Summer,40:15:00,1,5,0,0:00:00,40:15:00,,5,,,,,,
,304,25 mins,27,90/180,21,9.66,Enphase,Roof Mount,Yes,No,Truss,No,Yes,A1,68,47.4,50,2,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,49:30:00,2,5,0,0:00:00,49:30:00,,5,,,,,,
,305,28 mins,35,90,20,8.00,Enphase,Roof Mount,No,No,Truss,No,Yes,A1,74.8,40.9,48,1,0,Asphalt Shingles,Flashfoot 2,Both,2,Fall,29:15:00,1,3,0,0:00:00,29:15:00,,3,,,,,,
,306,13 mins,37/23,90/180,33,13.53,Enphase,Roof Mount,Yes,No,Truss,No,Yes,A3,69.37,44.65,47,2,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Fall,89:30:00,2,5,0,0:00:00,89:30:00,,5,,,,,,
,307,30 mins,18,302/213,26,10.40,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A1,74.8,40.9,48,3,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Summer,38:30:00,1,4,0,0:00:00,38:30:00,,4,,,,,,
,308,12 mins,37,180,14,5.60,Enphase,Roof Mount,Yes,No,Truss,No,Yes,A1,74.8,40.9,48,1,0,Asphalt Shingles,Flashfoot 2,Both,2,Fall,43:30:00,1,5,0,0:00:00,43:30:00,,5,,,,,,
,309,18 mins,11,181,18,7.20,Enphase,Roof Mount,Yes,No,Truss,No,Yes,A1,74.8,40.9,48,2,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Summer,42:15:00,1,5,0,0:00:00,42:15:00,,5,,,,,,
,310,8 mins,22/36,138/228,10,4.00,Enphase,Roof Mount,Yes,Yes,Truss,No,Yes,A1,74.8,40.9,48,3,0,Asphalt Shingles,Hugs,Portrait,1,Summer,30:00:00,1,4,0,0:00:00,30:00:00,,4,,,,,,
,311,31 mins,18.4,189/99,26,10.14,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A1,69.06,43.15,46.3,2,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Fall,27:30:00,1,3,0,0:00:00,27:30:00,,3,,,,,,
,312,9 mins,19.3,180/90,17,6.80,Enphase,Roof Mount,No,Yes,Rafter,Yes,Yes,C2,74.8,40.9,48,2,16,Standing Seam Metal Roof,S-5!,Portrait,1,Fall,46:30:00,1,5,0,0:00:00,46:30:00,,5,,,,,,
,313,47 mins,22,260,16,6.40,Enphase,Roof Mount,Yes,Yes,TJI,No,No,A3,74.8,40.9,48,1,0,Asphalt Shingles,Hugs,Portrait,1,Fall,39:30:00,1,5,0,0:00:00,39:30:00,,5,,,,,,
,314,19 mins,26,208/116,22,8.80,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A3,74.8,40.9,48,2,0,Asphalt Shingles,Hugs,Portrait,1,Fall,44:45:00,2,5,0,0:00:00,44:45:00,,5,,,,,,
,315,21 mins,33.7,160,26,10.66,Enphase,Roof Mount,Yes,Yes,Truss,No,No,B*,69.37,44.65,47,1,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Fall,59:30:00,2,4,0,0:00:00,59:30:00,,4,,,,,,
,316,8 mins,18,180,14,5.60,Enphase,Roof Mount,Yes,Yes,Rafter,Yes,Yes,A*,74.8,40.9,48,1,8,Asphalt Shingles,Flashfoot 2,Portrait,1,Fall,56:15:00,2,6,0,0:00:00,56:15:00,,6,,,,,,
,317,26 mins,27,221,12,4.80,Enphase,Roof Mount,Yes,No,Truss,No,Yes,A1,74.8,40.9,48,2,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,26:00:00,1,5,0,0:00:00,26:00:00,,5,,,,,,
,318,26 mins,27,271,12,4.80,Enphase,Roof Mount,Yes,No,Truss,No,Yes,A1,74.8,40.9,48,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,26:15:00,1,3,0,0:00:00,26:15:00,,3,Adjusted direct time due to time tracking errors,,,,,
,319,26 mins,27,125,12,4.80,Enphase,Roof Mount,Yes,No,Truss,No,Yes,A3,74.8,40.9,48,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,26:15:00,1,5,0,0:00:00,26:15:00,,5,Adjusted direct time due to time tracking errors,,,,,
,320,27 mins,27,146,12,4.80,Enphase,Roof Mount,Yes,No,Truss,No,Yes,A1,74.8,40.9,48,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,26:15:00,1,2,0,0:00:00,26:15:00,,2,Adjusted direct time due to time tracking errors,,,,,
,321,25 mins,26,180,20,8.40,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A1,73.4,40.9,47.8,4,0,Asphalt Shingles,Flashfoot 2,Both,2,Fall,38:30:00,2,5,0,0:00:00,38:30:00,,5,Adjusted direct time due to time tracking errors,,,,,
,322,24 mins,18/27,179/269,28,12.88,Enphase,Roof Mount,Yes,Yes,Rafter,No,Yes,A1,68,47.4,50,3,0,Asphalt Shingles,Flashfoot 2,Landscape,1,Winter,55:00:00,2,5,0,0:00:00,55:00:00,,5,,,,,,
,323,22 mins,18,90/180,26,10.66,Enphase,Roof Mount,Yes,Yes,Rafter,Yes,Yes,A1,69.37,44.65,47,2,2,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,52:00:00,1,5,0,0:00:00,52:00:00,,5,,,,,,
,324,27 mins,27,220/140&220,42,16.17,Enphase,Roof Mount,Yes,No,Truss,No,No,B2,79.06,39.45,49.6,4,0,Asphalt Shingles,Flashview,Portrait,1,Fall,83:30:00,2,5,0,0:00:00,83:30:00,,5,,,,,,
,325,24 mins,14,280/100,31,11.94,Enphase,Roof Mount,Yes,No,Truss,No,No,B1,79.06,39.45,49.6,3,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Fall,76:45:00,3,5,0,0:00:00,76:45:00,,5,,,,,,
,326,15 mins,33,290/200,36,16.56,Enphase,Roof Mount,Yes,Yes,Truss,No,No,C1,68,47.4,50,7,0,Asphalt Shingles,Flashfoot 2,Both,2,Fall,94:00:00,3,4,1,23:30:00,117:30:00,,5,,,,,,
,327,41 mins,26,90,22,8.80,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A1,74.8,40.9,48,3,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Fall,42:30:00,1,5,0,0:00:00,42:30:00,,5,,,,,,
,328,7 mins,22,91/181,9,4.14,Enphase,Roof Mount,Yes,No,Rafter,Yes,Yes,A1,68,47.4,50,1,9,Asphalt Shingles,Flashfoot 2,Both,1,Fall,39:15:00,1,5,0,0:00:00,39:15:00,,5,,,,,,
,329,20 mins,40,179,8,3.36,Enphase,Roof Mount,Yes,Yes,Rafter,Yes,Yes,A4,73.4,40.9,47.8,1,21,Asphalt Shingles,Hugs,Portrait,1,Fall,48:00:00,1,5,0,0:00:00,48:00:00,,5,,,,,,
,330,25 mins,25,89/269,21,8.40,Enphase,Roof Mount,Yes,Yes,Truss,No,Yes,A1,74.8,40.9,48,2,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Fall,40:45:00,1,5,0,0:00:00,40:45:00,,5,,,,,,
,331,24 mins,19/17,180,36,16.56,Enphase,Roof Mount,Yes,Yes,Truss,No,Yes,C1,68,47.4,50,3,0,Asphalt Shingles,Flashfoot 2,Landscape,2,Fall,94:15:00,4,5,0,0:00:00,94:15:00,,5,,,,,,
,332,20 mins,18.4,180,10,4.25,Enphase,Roof Mount,Yes,No,Rafter,Yes,Yes,A4,67.8,44.6,46.7,1,4,Asphalt Shingles,Hugs,Portrait,1,Fall,32:45:00,1,4,0,0:00:00,32:45:00,,4,,,,,,
,333,14 mins,27,94/184,23,9.20,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A1,74.8,40.9,48,2,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Fall,40:45:00,1,5,0,0:00:00,40:45:00,,5,,,,,,
,334,23 mins,20,180,16,7.36,Enphase,Roof Mount,Yes,Yes,Rafter,No,Yes,A1,68,47.4,50,1,0,Asphalt Shingles,Flashfoot 2,Landscape,1,Fall,43:15:00,2,5,0,0:00:00,43:15:00,,5,,,,,,
,335,22 mins,34,227,18,7.20,Enphase,Roof Mount,Yes,Yes,Rafter,Yes,Yes,C1,74.8,40.9,48,1,15,Asphalt Shingles,Hugs,Portrait,2,Fall,38:30:00,1,4,0,0:00:00,38:30:00,,4,,,,,,
,336,31 mins,27,102/282,23,9.20,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A1,74.8,40.9,48,2,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Fall,37:15:00,2,4,0,0:00:00,37:15:00,,4,,,,,,
,337,22 mins,18,258/78,18,7.20,Enphase,Roof Mount,Yes,Yes,Rafter,Yes,Yes,A1,74.8,40.9,48,2,6,Asphalt Shingles,Flashfoot 2,Portrait,1,Fall,38:00:00,1,5,0,0:00:00,38:00:00,,5,,,,,,
,338,40 mins,39,179,14,5.74,Enphase,Roof Mount,Yes,No,Rafter,No,No,A1,69.37,44.65,47,1,0,Asphalt Shingles,Flashfoot 2,Both,1,Fall,40:45:00,1,5,0,0:00:00,40:45:00,,5,,,,,,
,339,47 mins,18.4,182,21,8.40,Enphase,Roof Mount,No,No,Purlin,No,No,A2,74.8,40.9,48,1,0,Ag Metal,Ejot,Landscape,1,Fall,45:00:00,2,5,0,0:00:00,45:00:00,,5,,,,,,
,340,19 mins,18.4,181,26,10.40,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A1,74.8,40.9,48,2,0,Asphalt Shingles,Flashfoot 2,Both,2,Fall,27:15:00,1,4,0,0:00:00,27:15:00,,4,,,,,,
,341,31 mins,33,165,25,10.00,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A1,74.8,40.9,48,1,0,Asphalt Shingles,Flashfoot 2,Both,1,Fall,45:45:00,1,5,0,0:00:00,45:45:00,,5,,,,,,
,342,28 mins,18.4,180,18,7.20,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A*,74.8,40.9,48,1,0,Asphalt Shingles,Flashfoot 2,Portrait,0,Winter,36:00:00,1,5,0,0:00:00,36:00:00,,5,,,,,,
,343,25 mins,26,179,8,3.20,Enphase,Roof Mount,No,Yes,Truss,No,Yes,A1,74.8,40.9,48,1,0,Standing Seam Metal Roof,S-5!,Portrait,2,Winter,38:30:00,1,5,0,0:00:00,38:30:00,,5,,,,,,
,344,26 mins,25,144/234,12,4.80,Enphase,Roof Mount,Yes,No,Truss,No,Yes,A1,74.8,40.9,48,2,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Fall,27:50:00,1,5,0,0:00:00,27:50:00,,5,Adjusted direct time due to time tracking errors,,,,,
,345,26 mins,25,229/139,12,4.80,Enphase,Roof Mount,Yes,No,Truss,No,Yes,A1,74.8,40.9,48,2,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Fall,27:50:00,1,5,0,0:00:00,27:50:00,,5,Adjusted direct time due to time tracking errors,,,,,
,346,26 mins,25,149/239,12,4.80,Enphase,Roof Mount,Yes,No,Truss,No,Yes,A1,74.8,40.9,48,2,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Fall,27:50:00,1,5,0,0:00:00,27:50:00,,5,Adjusted direct time due to time tracking errors,,,,,
,347,26 mins,25,133,12,4.80,Enphase,Roof Mount,Yes,No,Truss,No,Yes,A1,74.8,40.9,48,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Fall,27:50:00,1,4,0,0:00:00,27:50:00,,4,Adjusted direct time due to time tracking errors,,,,,
,348,36 mins,38,179,21,8.82,Enphase,Roof Mount,Yes,Yes,Rafter,Yes,No,A1,73.4,40.9,47.8,1,14,Asphalt Shingles,Hugs,Both,2,Fall,85:00:00,2,5,0,0:00:00,85:00:00,,5,,,,,,
,350,23 mins,22,90/180/270,50,23.00,Enphase,Roof Mount,No,Yes,Rafter,Yes,Yes,C1,68,47.4,50,6,26,Standing Seam Metal Roof,S-5!,Both,1,Winter,185:30:00,6,5,0,0:00:00,185:30:00,,5,Really terrible weather for this project,,,,,
,351,42 mins,15,180,16,7.36,Enphase,Roof Mount,Yes,Yes,Truss,No,No,B2,68,47.4,50,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Winter,57:45:00,2,5,0,0:00:00,57:45:00,,5,,,,,,
,352,26 mins,30.3,158,14,5.60,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A1,74.8,40.9,48,2,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Winter,43:00:00,1,5,0,0:00:00,43:00:00,,5,,,,,,
,353,51 mins,39,163/250/70,26,11.70,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A4,68,47.4,50,4,0,Asphalt Shingles,Flashfoot 2,Portrait,3,Winter,98:00:00,2,5,0,0:00:00,98:00:00,,5,,,,,,
,354,7 mins,,,8,3.68,Enphase,Roof Mount,Yes,No,Rafter,No,Yes,A*,68,47.4,50,2,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Winter,37:45:00,1,5,0,0:00:00,37:45:00,,5,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
